factor,dim,SNR,seed,iteration,stat_err,optim_loss
W,60,1.5,13,5,0.27390823613096,437849.189919522
u,60,1.5,13,6,0.229348776396804,437849.189625998
V,60,1.5,13,6,0.33695294269663,437849.189625998
W,60,1.5,13,6,0.273959064483778,437849.189625998
u,60,1.5,13,7,0.229352219691486,437849.189601202
V,60,1.5,13,7,0.336963949793292,437849.189601202
W,60,1.5,13,7,0.273973924594397,437849.189601202
u,60,1.5,13,8,0.229353135908673,437849.18959903
V,60,1.5,13,8,0.336967435189951,437849.18959903
W,60,1.5,13,8,0.273978354725696,437849.18959903
u,60,1.5,13,9,0.229353382910377,437849.189598833
V,60,1.5,13,9,0.336968532674735,437849.189598833
W,60,1.5,13,9,0.273979695079049,437849.189598833
u,60,1.5,13,10,0.229353450355953,437849.189598814
V,60,1.5,13,10,0.336968876662756,437849.189598814
W,60,1.5,13,10,0.273980104837596,437849.189598814
u,60,1.5,14,0,0.31072875301219,NaN
u,60,1.5,14,1,0.227815555001276,438996.335626256
V,60,1.5,14,1,0.374650415990636,438996.335626256
W,60,1.5,14,1,0.305801722991938,438996.335626256
u,60,1.5,14,2,0.228983145945364,438973.688965153
V,60,1.5,14,2,0.364605763724626,438973.688965153
W,60,1.5,14,2,0.300538913246954,438973.688965153
u,60,1.5,14,3,0.229432487059164,438972.981174659
V,60,1.5,14,3,0.364975568736472,438972.981174659
W,60,1.5,14,3,0.300563446484252,438972.981174659
u,60,1.5,14,4,0.229507939716034,438972.946871335
V,60,1.5,14,4,0.365153962691136,438972.946871335
W,60,1.5,14,4,0.300567754478469,438972.946871335
u,60,1.5,14,5,0.229518848089622,438972.944974132
V,60,1.5,14,5,0.365193566359699,438972.944974132
W,60,1.5,14,5,0.300562771837195,438972.944974132
u,60,1.5,14,6,0.229520152751713,438972.944861274
V,60,1.5,14,6,0.365201413116163,438972.944861274
W,60,1.5,14,6,0.300560605538583,438972.944861274
u,60,1.5,14,7,0.229520218816003,438972.944854222
V,60,1.5,14,7,0.365202928399805,438972.944854222
W,60,1.5,14,7,0.300559994407941,438972.944854222
u,60,1.5,14,8,0.229520184385693,438972.944853763
V,60,1.5,14,8,0.365203218411597,438972.944853763
W,60,1.5,14,8,0.300559851845666,438972.944853763
u,60,1.5,14,9,0.229520165003962,438972.944853734
V,60,1.5,14,9,0.365203273224793,438972.944853734
W,60,1.5,14,9,0.300559822912202,438972.944853734
u,60,1.5,14,10,0.229520157713712,438972.944853731
V,60,1.5,14,10,0.365203283317516,438972.944853731
W,60,1.5,14,10,0.300559817925881,438972.944853731
u,60,1.5,15,0,0.397969700329713,NaN
u,60,1.5,15,1,0.232572679992212,438603.704858194
V,60,1.5,15,1,0.428542414690213,438603.704858194
W,60,1.5,15,1,0.393274735911817,438603.704858194
u,60,1.5,15,2,0.222740211622045,438569.156988825
V,60,1.5,15,2,0.399068751216425,438569.156988825
W,60,1.5,15,2,0.371987109734216,438569.156988825
u,60,1.5,15,3,0.221291870583499,438568.028913785
V,60,1.5,15,3,0.394243836990006,438568.028913785
W,60,1.5,15,3,0.369068955482745,438568.028913785
u,60,1.5,15,4,0.220922398260661,438567.960262791
V,60,1.5,15,4,0.393134463143392,438567.960262791
W,60,1.5,15,4,0.368322247104493,438567.960262791
u,60,1.5,15,5,0.220813025584176,438567.955176953
V,60,1.5,15,5,0.392856972126397,438567.955176953
W,60,1.5,15,5,0.368116096275697,438567.955176953
u,60,1.5,15,6,0.22077985817513,438567.954766017
V,60,1.5,15,6,0.392785331401987,438567.954766017
W,60,1.5,15,6,0.368059149894479,438567.954766017
u,60,1.5,15,7,0.220769816458801,438567.954731353
V,60,1.5,15,7,0.39276652529956,438567.954731353
W,60,1.5,15,7,0.36804347023481,438567.954731353
u,60,1.5,15,8,0.220766790971674,438567.954728364
V,60,1.5,15,8,0.392761531997946,438567.954728364
W,60,1.5,15,8,0.368039153817541,438567.954728364
u,60,1.5,15,9,0.220765882921063,438567.954728103
V,60,1.5,15,9,0.392760193821542,438567.954728103
W,60,1.5,15,9,0.36803796310013,438567.954728103
u,60,1.5,15,10,0.220765611057244,438567.954728078
V,60,1.5,15,10,0.392759832227176,438567.954728078
W,60,1.5,15,10,0.368037633582086,438567.954728078
u,60,1.5,16,0,0.321228839635619,NaN
u,60,1.5,16,1,0.212896264376247,439780.339093529
V,60,1.5,16,1,0.360364228816913,439780.339093529
W,60,1.5,16,1,0.28987485417856,439780.339093529
u,60,1.5,16,2,0.21337658431592,439756.347771089
V,60,1.5,16,2,0.364604894349914,439756.347771089
W,60,1.5,16,2,0.280372576460165,439756.347771089
u,60,1.5,16,3,0.213876972677204,439755.808470484
V,60,1.5,16,3,0.366438070325935,439755.808470484
W,60,1.5,16,3,0.281145155984423,439755.808470484
u,60,1.5,16,4,0.214002757744579,439755.785379786
V,60,1.5,16,4,0.366794360291497,439755.785379786
W,60,1.5,16,4,0.281414560406523,439755.785379786
u,60,1.5,16,5,0.214031672036549,439755.784169233
V,60,1.5,16,5,0.366863499122097,439755.784169233
W,60,1.5,16,5,0.281476833588236,439755.784169233
u,60,1.5,16,6,0.214038176670243,439755.784099621
V,60,1.5,16,6,0.366877100531925,439755.784099621
W,60,1.5,16,6,0.281490187880687,439755.784099621
u,60,1.5,16,7,0.214039633881949,439755.78409539
V,60,1.5,16,7,0.366879760233339,439755.78409539
W,60,1.5,16,7,0.281493006234873,439755.78409539
u,60,1.5,16,8,0.214039961682794,439755.784095122
V,60,1.5,16,8,0.366880266105622,439755.784095122
W,60,1.5,16,8,0.281493604270371,439755.784095122
u,60,1.5,16,9,0.214040036114179,439755.784095106
V,60,1.5,16,9,0.366880356846145,439755.784095106
W,60,1.5,16,9,0.281493733367553,439755.784095106
u,60,1.5,16,10,0.214040053237433,439755.784095105
V,60,1.5,16,10,0.366880371231876,439755.784095105
W,60,1.5,16,10,0.281493761955211,439755.784095105
u,60,1.5,17,0,0.343293637826846,NaN
u,60,1.5,17,1,0.217463313214787,439409.405312344
V,60,1.5,17,1,0.387035906794232,439409.405312344
W,60,1.5,17,1,0.298179540838033,439409.405312344
u,60,1.5,17,2,0.215862345228221,439385.778831888
V,60,1.5,17,2,0.383148589833383,439385.778831888
W,60,1.5,17,2,0.292801987685407,439385.778831888
u,60,1.5,17,3,0.216080847981016,439385.116214189
V,60,1.5,17,3,0.384978529228813,439385.116214189
W,60,1.5,17,3,0.291961027260744,439385.116214189
u,60,1.5,17,4,0.216140275398572,439385.083050758
V,60,1.5,17,4,0.385548246159519,439385.083050758
W,60,1.5,17,4,0.291715841814258,439385.083050758
u,60,1.5,17,5,0.216151933319435,439385.081100375
V,60,1.5,17,5,0.385697107781832,439385.081100375
W,60,1.5,17,5,0.291651698933402,439385.081100375
u,60,1.5,17,6,0.216153981125962,439385.080977533
V,60,1.5,17,6,0.385734932023066,439385.080977533
W,60,1.5,17,6,0.291635558164208,439385.080977533
