factor,dim,SNR,seed,iteration,stat_err,optim_loss
W,60,1.5,16,4,0.240454918814592,439764.437185325
u,60,1.5,16,5,0.2202982858934,439764.431928784
V,60,1.5,16,5,0.30338644302853,439764.431928784
W,60,1.5,16,5,0.240515533614786,439764.431928784
u,60,1.5,16,6,0.220306293399346,439764.430901534
V,60,1.5,16,6,0.303400858163348,439764.430901534
W,60,1.5,16,6,0.24053118405738,439764.430901534
u,60,1.5,16,7,0.220308419351206,439764.430639607
V,60,1.5,16,7,0.303405570524757,439764.430639607
W,60,1.5,16,7,0.240535362291923,439764.430639607
u,60,1.5,16,8,0.220308984057774,439764.43056692
V,60,1.5,16,8,0.303407109657065,439764.43056692
W,60,1.5,16,8,0.240536514481984,439764.43056692
u,60,1.5,16,9,0.220309135216981,439764.43054627
V,60,1.5,16,9,0.303407604731024,439764.43054627
W,60,1.5,16,9,0.240536840449408,439764.43054627
u,60,1.5,16,10,0.220309176139933,439764.430540365
V,60,1.5,16,10,0.303407761522921,439764.430540365
W,60,1.5,16,10,0.240536934390116,439764.430540365
u,60,1.5,17,0,0.362096577182206,NaN
u,60,1.5,17,1,0.231458848489287,439414.327410202
V,60,1.5,17,1,0.321622049738378,439414.327410202
W,60,1.5,17,1,0.244478562060036,439414.327410202
u,60,1.5,17,2,0.228661724982785,439391.705925309
V,60,1.5,17,2,0.311313538212518,439391.705925309
W,60,1.5,17,2,0.239669154322427,439391.705925309
u,60,1.5,17,3,0.228619206630552,439390.961944028
V,60,1.5,17,3,0.312134312742345,439390.961944028
W,60,1.5,17,3,0.238884485046003,439390.961944028
u,60,1.5,17,4,0.228615749931111,439390.934148379
V,60,1.5,17,4,0.312559434455613,439390.934148379
W,60,1.5,17,4,0.238647617955781,439390.934148379
u,60,1.5,17,5,0.228610567807084,439390.936442985
V,60,1.5,17,5,0.312691534803825,439390.936442985
W,60,1.5,17,5,0.238583120600655,439390.936442985
u,60,1.5,17,6,0.228607812833463,439390.937794421
V,60,1.5,17,6,0.312729432704989,439390.937794421
W,60,1.5,17,6,0.238565943709171,439390.937794421
