q,N,seed,method,factor name,RI,ARI
50,40,2,iHOOI,networkX1,1,1
50,40,2,iHOOI,networkY1,1,1
50,40,2,iHOOI,networkX2,0.574683544303797,0.153139356814701
50,40,2,iHOOI,networkY2,0.493061224489796,-0.0135904866593385
80,20,2,JisstPCA0 (oracle),sample,1,1
80,20,2,JisstPCA0 (oracle),networkX1,1,1
80,20,2,JisstPCA0 (oracle),networkY1,1,1
80,20,2,JisstPCA0 (oracle),networkX2,0.493987341772152,-0.0121793895882245
80,20,2,JisstPCA0 (oracle),networkY2,0.49873417721519,-0.0024609705452588
80,20,2,JisstPCA0 (BIC),sample,0.9,0.764391071661663
80,20,2,JisstPCA0 (BIC),networkX1,1,1
80,20,2,JisstPCA0 (BIC),networkY1,1,1
80,20,2,JisstPCA0 (BIC),networkX2,0.493987341772152,-0.0121793895882245
80,20,2,JisstPCA0 (BIC),networkY2,0.49873417721519,-0.0024609705452588
80,20,2,G-JisstPCA0 (oracle),sample,0.557894736842105,0.132702967068797
80,20,2,G-JisstPCA0 (oracle),networkX1,1,1
80,20,2,G-JisstPCA0 (oracle),networkY1,1,1
80,20,2,G-JisstPCA0 (oracle),networkX2,0.493670886075949,-0.0127880516650108
80,20,2,G-JisstPCA0 (oracle),networkY2,0.505063291139241,0.0104056539094887
80,20,2,G-JisstPCA0 (BIC),sample,0.557894736842105,0.132702967068797
80,20,2,G-JisstPCA0 (BIC),networkX1,1,1
80,20,2,G-JisstPCA0 (BIC),networkY1,1,1
80,20,2,G-JisstPCA0 (BIC),networkX2,0.493670886075949,-0.0127880516650108
80,20,2,G-JisstPCA0 (BIC),networkY2,0.505063291139241,0.0104056539094887
80,20,2,JisstPCA2 (oracle),sample,1,1
80,20,2,JisstPCA2 (oracle),networkX1,1,1
80,20,2,JisstPCA2 (oracle),networkY1,1,1
80,20,2,JisstPCA2 (oracle),networkX2,1,1
80,20,2,JisstPCA2 (oracle),networkY2,1,1
80,20,2,JisstPCA2 (BIC),sample,1,1
80,20,2,JisstPCA2 (BIC),networkX1,1,1
80,20,2,JisstPCA2 (BIC),networkY1,1,1
80,20,2,JisstPCA2 (BIC),networkX2,1,1
80,20,2,JisstPCA2 (BIC),networkY2,1,1
80,20,2,G-JisstPCA2 (oracle),sample,1,1
80,20,2,G-JisstPCA2 (oracle),networkX1,1,1
80,20,2,G-JisstPCA2 (oracle),networkY1,1,1
80,20,2,G-JisstPCA2 (oracle),networkX2,1,1
80,20,2,G-JisstPCA2 (oracle),networkY2,1,1
80,20,2,G-JisstPCA2 (BIC),sample,1,1
80,20,2,G-JisstPCA2 (BIC),networkX1,1,1
80,20,2,G-JisstPCA2 (BIC),networkY1,1,1
80,20,2,G-JisstPCA2 (BIC),networkX2,1,1
80,20,2,G-JisstPCA2 (BIC),networkY2,1,1
80,20,2,iHOSVD,sample,1,1
80,20,2,iHOSVD,networkX1,1,1
80,20,2,iHOSVD,networkY1,1,1
80,20,2,iHOSVD,networkX2,0.607911392405063,0.218458811411598
80,20,2,iHOSVD,networkY2,0.501582278481013,0.0033577851434027
80,20,2,iHOOI,sample,1,1
