q,N,seed,method,factor name,factor number,err
50,20,2,G-JisstPCA0 (oracle),V,1,0.0807348283706123
50,20,2,G-JisstPCA0 (oracle),W,1,0.13623647508025
50,20,2,G-JisstPCA0 (oracle),u,2,0.885600247758551
50,20,2,G-JisstPCA0 (oracle),V,2,0.999996448609901
50,20,2,G-JisstPCA0 (oracle),W,2,0.997964350249103
50,20,2,G-JisstPCA0 (BIC),u,1,0.0666154786991134
50,20,2,G-JisstPCA0 (BIC),V,1,0.0807348283706123
50,20,2,G-JisstPCA0 (BIC),W,1,0.13623647508025
50,20,2,G-JisstPCA0 (BIC),u,2,0.885600247758551
50,20,2,G-JisstPCA0 (BIC),V,2,0.999996448609901
50,20,2,G-JisstPCA0 (BIC),W,2,0.997964350249103
50,20,2,JisstPCA2 (oracle),u,1,0.0686590812201625
50,20,2,JisstPCA2 (oracle),V,1,0.0808108786553032
50,20,2,JisstPCA2 (oracle),W,1,0.136845978230902
50,20,2,JisstPCA2 (oracle),u,2,0.174561591412769
50,20,2,JisstPCA2 (oracle),V,2,0.221316347454542
50,20,2,JisstPCA2 (oracle),W,2,0.475668506610588
50,20,2,JisstPCA2 (BIC),u,1,0.0686590812201625
50,20,2,JisstPCA2 (BIC),V,1,0.0808108786553032
50,20,2,JisstPCA2 (BIC),W,1,0.136845978230902
50,20,2,JisstPCA2 (BIC),u,2,0.174561591412769
50,20,2,JisstPCA2 (BIC),V,2,0.221316347454542
50,20,2,JisstPCA2 (BIC),W,2,0.475668506610588
50,20,2,G-JisstPCA2 (oracle),u,1,0.0666154786991134
50,20,2,G-JisstPCA2 (oracle),V,1,0.0807348283706123
50,20,2,G-JisstPCA2 (oracle),W,1,0.13623647508025
50,20,2,G-JisstPCA2 (oracle),u,2,0.156718126342976
50,20,2,G-JisstPCA2 (oracle),V,2,0.218520056047821
50,20,2,G-JisstPCA2 (oracle),W,2,0.468532964190735
50,20,2,G-JisstPCA2 (BIC),u,1,0.0666154786991134
50,20,2,G-JisstPCA2 (BIC),V,1,0.0807348283706123
50,20,2,G-JisstPCA2 (BIC),W,1,0.13623647508025
50,20,2,G-JisstPCA2 (BIC),u,2,0.156718126342976
50,20,2,G-JisstPCA2 (BIC),V,2,0.218520056047821
50,20,2,G-JisstPCA2 (BIC),W,2,0.468532964190735
50,20,2,iHOSVD,u,1,0.103407901452023
50,20,2,iHOSVD,V,1,0.112581207201784
50,20,2,iHOSVD,W,1,0.200209835751777
50,20,2,iHOSVD,u,2,0.250861199223227
50,20,2,iHOSVD,V,2,0.793588115015681
50,20,2,iHOSVD,W,2,0.98536080884925
50,20,2,iHOOI,u,1,0.0642563238930245
50,20,2,iHOOI,V,1,0.117056917711569
50,20,2,iHOOI,W,1,0.143736039980185
50,20,2,iHOOI,u,2,0.144131391684998
50,20,2,iHOOI,V,2,0.74329588324184
50,20,2,iHOOI,W,2,0.993367906285085
50,40,2,JisstPCA0 (oracle),u,1,0.0729949410926577
50,40,2,JisstPCA0 (oracle),V,1,0.0593066451157492
50,40,2,JisstPCA0 (oracle),W,1,0.115390651022192
50,40,2,JisstPCA0 (oracle),u,2,0.941075050891352
50,40,2,JisstPCA0 (oracle),V,2,0.999863219303504
50,40,2,JisstPCA0 (oracle),W,2,0.995355095520895
50,40,2,JisstPCA0 (BIC),u,1,0.0729949410926577
50,40,2,JisstPCA0 (BIC),V,1,0.0593066451157492
50,40,2,JisstPCA0 (BIC),W,1,0.115390651022192
50,40,2,JisstPCA0 (BIC),u,2,0.941075050891352
50,40,2,JisstPCA0 (BIC),V,2,0.999863219303504
50,40,2,JisstPCA0 (BIC),W,2,0.995355095520895
50,40,2,G-JisstPCA0 (oracle),u,1,0.0720141100080087
50,40,2,G-JisstPCA0 (oracle),V,1,0.0593310296632152
50,40,2,G-JisstPCA0 (oracle),W,1,0.115500874439225
50,40,2,G-JisstPCA0 (oracle),u,2,0.931375754520297
50,40,2,G-JisstPCA0 (oracle),V,2,0.999995744547012
50,40,2,G-JisstPCA0 (oracle),W,2,0.999916744197153
50,40,2,G-JisstPCA0 (BIC),u,1,0.0720141100080087
50,40,2,G-JisstPCA0 (BIC),V,1,0.0593310296632152
50,40,2,G-JisstPCA0 (BIC),W,1,0.115500874439225
50,40,2,G-JisstPCA0 (BIC),u,2,0.931375754520297
50,40,2,G-JisstPCA0 (BIC),V,2,0.999995744547012
50,40,2,G-JisstPCA0 (BIC),W,2,0.999916744197153
50,40,2,JisstPCA2 (oracle),u,1,0.0729949410926577
50,40,2,JisstPCA2 (oracle),V,1,0.0593066451157492
50,40,2,JisstPCA2 (oracle),W,1,0.115390651022192
50,40,2,JisstPCA2 (oracle),u,2,0.166756343960942
50,40,2,JisstPCA2 (oracle),V,2,0.212003805304348
50,40,2,JisstPCA2 (oracle),W,2,0.375822410054027
50,40,2,JisstPCA2 (BIC),u,1,0.0729949410926577
50,40,2,JisstPCA2 (BIC),V,1,0.0593066451157492
50,40,2,JisstPCA2 (BIC),W,1,0.115390651022192
50,40,2,JisstPCA2 (BIC),u,2,0.166756343960942
50,40,2,JisstPCA2 (BIC),V,2,0.212003805304348
50,40,2,JisstPCA2 (BIC),W,2,0.375822410054027
50,40,2,G-JisstPCA2 (oracle),u,1,0.0720141100080087
50,40,2,G-JisstPCA2 (oracle),V,1,0.0593310296632152
50,40,2,G-JisstPCA2 (oracle),W,1,0.115500874439225
50,40,2,G-JisstPCA2 (oracle),u,2,0.163235890956205
50,40,2,G-JisstPCA2 (oracle),V,2,0.211320545837524
50,40,2,G-JisstPCA2 (oracle),W,2,0.368393078613327
50,40,2,G-JisstPCA2 (BIC),u,1,0.0720141100080087
50,40,2,G-JisstPCA2 (BIC),V,1,0.0593310296632152
50,40,2,G-JisstPCA2 (BIC),W,1,0.115500874439225
50,40,2,G-JisstPCA2 (BIC),u,2,0.163235890956205
50,40,2,G-JisstPCA2 (BIC),V,2,0.211320545837524
50,40,2,G-JisstPCA2 (BIC),W,2,0.368393078613327
50,40,2,iHOSVD,u,1,0.0977429600399922
50,40,2,iHOSVD,V,1,0.0775293215658051
50,40,2,iHOSVD,W,1,0.176450543237261
50,40,2,iHOSVD,u,2,0.202300056822181
50,40,2,iHOSVD,V,2,0.765823061561316
50,40,2,iHOSVD,W,2,0.999075386098203
50,40,2,iHOOI,u,1,0.0677027535724944
50,40,2,iHOOI,V,1,0.0800435409415125
50,40,2,iHOOI,W,1,0.118760556747981
50,40,2,iHOOI,u,2,0.166160365694524
50,40,2,iHOOI,V,2,0.723524936410663
50,40,2,iHOOI,W,2,0.998105990224831
80,20,2,JisstPCA0 (oracle),u,1,0.04625727217402
80,20,2,JisstPCA0 (oracle),V,1,0.074968754919907
80,20,2,JisstPCA0 (oracle),W,1,0.119059872585151
80,20,2,JisstPCA0 (oracle),u,2,0.900232022762431
80,20,2,JisstPCA0 (oracle),V,2,0.996754658940152
80,20,2,JisstPCA0 (oracle),W,2,0.999593862389272
80,20,2,JisstPCA0 (BIC),u,1,0.04625727217402
80,20,2,JisstPCA0 (BIC),V,1,0.074968754919907
80,20,2,JisstPCA0 (BIC),W,1,0.119059872585151
80,20,2,JisstPCA0 (BIC),u,2,0.900232022762431
80,20,2,JisstPCA0 (BIC),V,2,0.996754658940152
80,20,2,JisstPCA0 (BIC),W,2,0.999593862389272
80,20,2,G-JisstPCA0 (oracle),u,1,0.0459359332550812
80,20,2,G-JisstPCA0 (oracle),V,1,0.075025125377059
80,20,2,G-JisstPCA0 (oracle),W,1,0.119003214994111
80,20,2,G-JisstPCA0 (oracle),u,2,0.854592419923629
80,20,2,G-JisstPCA0 (oracle),V,2,0.999823634321966
80,20,2,G-JisstPCA0 (oracle),W,2,0.999805224710469
80,20,2,G-JisstPCA0 (BIC),u,1,0.0459359332550812
80,20,2,G-JisstPCA0 (BIC),V,1,0.075025125377059
80,20,2,G-JisstPCA0 (BIC),W,1,0.119003214994111
80,20,2,G-JisstPCA0 (BIC),u,2,0.854592419923629
80,20,2,G-JisstPCA0 (BIC),V,2,0.999823634321966
80,20,2,G-JisstPCA0 (BIC),W,2,0.999805224710469
80,20,2,JisstPCA2 (oracle),u,1,0.04625727217402
80,20,2,JisstPCA2 (oracle),V,1,0.074968754919907
80,20,2,JisstPCA2 (oracle),W,1,0.119059872585151
80,20,2,JisstPCA2 (oracle),u,2,0.120950166420274
80,20,2,JisstPCA2 (oracle),V,2,0.234826629503635
80,20,2,JisstPCA2 (oracle),W,2,0.314348692493213
80,20,2,JisstPCA2 (BIC),u,1,0.04625727217402
80,20,2,JisstPCA2 (BIC),V,1,0.074968754919907
80,20,2,JisstPCA2 (BIC),W,1,0.119059872585151
80,20,2,JisstPCA2 (BIC),u,2,0.120950166420274
80,20,2,JisstPCA2 (BIC),V,2,0.234826629503635
80,20,2,JisstPCA2 (BIC),W,2,0.314348692493213
80,20,2,G-JisstPCA2 (oracle),u,1,0.0459359332550812
80,20,2,G-JisstPCA2 (oracle),V,1,0.075025125377059
80,20,2,G-JisstPCA2 (oracle),W,1,0.119003214994111
80,20,2,G-JisstPCA2 (oracle),u,2,0.113701965860899
80,20,2,G-JisstPCA2 (oracle),V,2,0.23414939409841
80,20,2,G-JisstPCA2 (oracle),W,2,0.314720338048298
80,20,2,G-JisstPCA2 (BIC),u,1,0.0459359332550812
80,20,2,G-JisstPCA2 (BIC),V,1,0.075025125377059
80,20,2,G-JisstPCA2 (BIC),W,1,0.119003214994111
80,20,2,G-JisstPCA2 (BIC),u,2,0.113701965860899
80,20,2,G-JisstPCA2 (BIC),V,2,0.23414939409841
80,20,2,G-JisstPCA2 (BIC),W,2,0.314720338048298
80,20,2,iHOSVD,u,1,0.0832422495174261
80,20,2,iHOSVD,V,1,0.0990201669658303
80,20,2,iHOSVD,W,1,0.154168042529666
80,20,2,iHOSVD,u,2,0.186086536858886
80,20,2,iHOSVD,V,2,0.780634228235189
80,20,2,iHOSVD,W,2,0.981140199625469
80,20,2,iHOOI,u,1,0.0383860863377687
80,20,2,iHOOI,V,1,0.102476161356652
80,20,2,iHOOI,W,1,0.138750757329374
80,20,2,iHOOI,u,2,0.106314603318122
80,20,2,iHOOI,V,2,0.747847672700059
80,20,2,iHOOI,W,2,0.713931171163903
80,40,2,JisstPCA0 (oracle),u,1,0.0513990927079299
80,40,2,JisstPCA0 (oracle),V,1,0.0532983354860262
80,40,2,JisstPCA0 (oracle),W,1,0.0851081860702062
80,40,2,JisstPCA0 (oracle),u,2,0.940856341075588
80,40,2,JisstPCA0 (oracle),V,2,0.999795359611203
80,40,2,JisstPCA0 (oracle),W,2,0.969272809320572
80,40,2,JisstPCA0 (BIC),u,1,0.0513990927079299
80,40,2,JisstPCA0 (BIC),V,1,0.0532983354860262
80,40,2,JisstPCA0 (BIC),W,1,0.0851081860702062
80,40,2,JisstPCA0 (BIC),u,2,0.940856341075588
80,40,2,JisstPCA0 (BIC),V,2,0.999795359611203
80,40,2,JisstPCA0 (BIC),W,2,0.969272809320572
80,40,2,G-JisstPCA0 (oracle),u,1,0.0532076657887575
80,40,2,G-JisstPCA0 (oracle),V,1,0.0532220833490261
80,40,2,G-JisstPCA0 (oracle),W,1,0.0851454464237923
80,40,2,G-JisstPCA0 (oracle),u,2,0.944972821131698
80,40,2,G-JisstPCA0 (oracle),V,2,0.99973552439295
80,40,2,G-JisstPCA0 (oracle),W,2,0.998144881871073
80,40,2,G-JisstPCA0 (BIC),u,1,0.0532076657887575
80,40,2,G-JisstPCA0 (BIC),V,1,0.0532220833490261
80,40,2,G-JisstPCA0 (BIC),W,1,0.0851454464237923
80,40,2,G-JisstPCA0 (BIC),u,2,0.944972821131698
80,40,2,G-JisstPCA0 (BIC),V,2,0.99973552439295
80,40,2,G-JisstPCA0 (BIC),W,2,0.998144881871073
80,40,2,JisstPCA2 (oracle),u,1,0.0513990927079299
80,40,2,JisstPCA2 (oracle),V,1,0.0532983354860262
80,40,2,JisstPCA2 (oracle),W,1,0.0851081860702062
80,40,2,JisstPCA2 (oracle),u,2,0.187716552964365
80,40,2,JisstPCA2 (oracle),V,2,0.184941719690763
80,40,2,JisstPCA2 (oracle),W,2,0.287636622796176
