"diagonal","SNR","seed","method","factor.name","factor.number","err"
1,5,1,"JisstPCA1 (oracle)","W",1,0.0772690671738716
1,5,1,"JisstPCA1 (oracle)","u",2,0.136119798746716
1,5,1,"JisstPCA1 (oracle)","V",2,0.251965406549094
1,5,1,"JisstPCA1 (oracle)","W",2,0.286360578482075
1,5,1,"iHOSVD","u",1,0.0410440415815247
1,5,1,"iHOSVD","V",1,0.161382436421402
1,5,1,"iHOSVD","W",1,0.107636793461249
1,5,1,"iHOSVD","u",2,0.169893645040391
1,5,1,"iHOSVD","V",2,0.389419830179427
1,5,1,"iHOSVD","W",2,0.369505197792733
1,5,1,"iHOOI","u",1,0.0389066307715497
1,5,1,"iHOOI","V",1,0.140863241832042
1,5,1,"iHOOI","W",1,0.101586409631881
1,5,1,"iHOOI","u",2,0.159088012685554
1,5,1,"iHOOI","V",2,0.329140147595866
1,5,1,"iHOOI","W",2,0.355105538132045
1,6.25,1,"JisstPCA0 (BIC)","u",1,0.0280444665107678
1,6.25,1,"JisstPCA0 (BIC)","V",1,0.0864372703416083
1,6.25,1,"JisstPCA0 (BIC)","W",1,0.0623800242912786
1,6.25,1,"JisstPCA0 (BIC)","u",2,0.0586241004041882
1,6.25,1,"JisstPCA0 (BIC)","V",2,0.130695788775138
1,6.25,1,"JisstPCA0 (BIC)","W",2,0.0900245527409783
1,6.25,1,"JisstPCA0 (BIC top)","u",1,0.0280444665107678
1,6.25,1,"JisstPCA0 (BIC top)","V",1,0.0864372703416083
1,6.25,1,"JisstPCA0 (BIC top)","W",1,0.0623800242912786
1,6.25,1,"JisstPCA0 (BIC top)","u",2,0.0586241004041882
1,6.25,1,"JisstPCA0 (BIC top)","V",2,0.130695788775138
1,6.25,1,"JisstPCA0 (BIC top)","W",2,0.0900245527409783
1,6.25,1,"JisstPCA0 (oracle)","u",1,0.0280444665107678
1,6.25,1,"JisstPCA0 (oracle)","V",1,0.0864372703416083
1,6.25,1,"JisstPCA0 (oracle)","W",1,0.0623800242912786
1,6.25,1,"JisstPCA0 (oracle)","u",2,0.0586241004041882
1,6.25,1,"JisstPCA0 (oracle)","V",2,0.130695788775138
1,6.25,1,"JisstPCA0 (oracle)","W",2,0.0900245527409783
1,6.25,1,"JisstPCA1 (BIC)","u",1,0.0280444665107678
1,6.25,1,"JisstPCA1 (BIC)","V",1,0.0864372703416083
1,6.25,1,"JisstPCA1 (BIC)","W",1,0.0623800242912786
1,6.25,1,"JisstPCA1 (BIC)","u",2,0.127179481131209
1,6.25,1,"JisstPCA1 (BIC)","V",2,0.23006016786634
1,6.25,1,"JisstPCA1 (BIC)","W",2,0.2746110466836
1,6.25,1,"JisstPCA1 (BIC top)","u",1,0.0280444665107678
1,6.25,1,"JisstPCA1 (BIC top)","V",1,0.0864372703416083
1,6.25,1,"JisstPCA1 (BIC top)","W",1,0.0623800242912786
1,6.25,1,"JisstPCA1 (BIC top)","u",2,0.127179481131209
1,6.25,1,"JisstPCA1 (BIC top)","V",2,0.23006016786634
1,6.25,1,"JisstPCA1 (BIC top)","W",2,0.2746110466836
1,6.25,1,"JisstPCA1 (oracle)","u",1,0.0280444665107678
1,6.25,1,"JisstPCA1 (oracle)","V",1,0.0864372703416083
1,6.25,1,"JisstPCA1 (oracle)","W",1,0.0623800242912786
1,6.25,1,"JisstPCA1 (oracle)","u",2,0.127179481131209
1,6.25,1,"JisstPCA1 (oracle)","V",2,0.23006016786634
1,6.25,1,"JisstPCA1 (oracle)","W",2,0.2746110466836
1,6.25,1,"iHOSVD","u",1,0.0345286582525357
1,6.25,1,"iHOSVD","V",1,0.134401468655769
1,6.25,1,"iHOSVD","W",1,0.0978882173986411
1,6.25,1,"iHOSVD","u",2,0.156763713236803
