method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,8,9,-0.0335870374716628
truth,V,1,9,9,0.0133882295289097
truth,V,1,10,9,0.0156971277947425
truth,V,1,11,9,-0.010963710406913
truth,V,1,12,9,0.013840251520972
truth,V,1,13,9,-0.0188462375662205
truth,V,1,14,9,-0.0222437653760636
truth,V,1,15,9,0.0202163846279067
truth,V,1,16,9,-0.0234180387732681
truth,V,1,17,9,-0.0199799556947061
truth,V,1,18,9,-0.0151595677754388
truth,V,1,19,9,-0.0300696674004436
truth,V,1,20,9,-0.0191875953986952
truth,V,1,21,9,0
truth,V,1,22,9,0
truth,V,1,23,9,0
truth,V,1,24,9,0
truth,V,1,25,9,0
truth,V,1,26,9,0
truth,V,1,27,9,0
truth,V,1,28,9,0
truth,V,1,29,9,0
truth,V,1,30,9,0
truth,V,1,31,9,0
truth,V,1,32,9,0
truth,V,1,33,9,0
truth,V,1,34,9,0
truth,V,1,35,9,0
truth,V,1,36,9,0
truth,V,1,37,9,0
truth,V,1,38,9,0
truth,V,1,39,9,0
truth,V,1,40,9,0
truth,V,1,41,9,0
truth,V,1,42,9,0
truth,V,1,43,9,0
truth,V,1,44,9,0
truth,V,1,45,9,0
truth,V,1,46,9,0
truth,V,1,47,9,0
truth,V,1,48,9,0
truth,V,1,49,9,0
truth,V,1,50,9,0
truth,V,1,1,10,0.00329397381311079
truth,V,1,2,10,0.0386443380445627
truth,V,1,3,10,0.0737180899441891
truth,V,1,4,10,0.00731825928821786
truth,V,1,5,10,0.0249054288033464
truth,V,1,6,10,-0.0428845965448404
truth,V,1,7,10,0.0359230991926531
truth,V,1,8,10,-0.0393793681458067
truth,V,1,9,10,0.0156971277947425
truth,V,1,10,10,0.0184042124817487
truth,V,1,11,10,-0.0128544825878763
truth,V,1,12,10,0.0162271042908964
truth,V,1,13,10,-0.0220964093040263
truth,V,1,14,10,-0.0260798656753216
truth,V,1,15,10,0.0237028482643412
truth,V,1,16,10,-0.0274566511227239
truth,V,1,17,10,-0.023425645429507
truth,V,1,18,10,-0.0177739462988951
truth,V,1,19,10,-0.0352554018371841
truth,V,1,20,10,-0.0224966367955345
truth,V,1,21,10,0
truth,V,1,22,10,0
truth,V,1,23,10,0
truth,V,1,24,10,0
truth,V,1,25,10,0
truth,V,1,26,10,0
truth,V,1,27,10,0
truth,V,1,28,10,0
truth,V,1,29,10,0
truth,V,1,30,10,0
truth,V,1,31,10,0
truth,V,1,32,10,0
truth,V,1,33,10,0
truth,V,1,34,10,0
truth,V,1,35,10,0
truth,V,1,36,10,0
truth,V,1,37,10,0
truth,V,1,38,10,0
truth,V,1,39,10,0
truth,V,1,40,10,0
truth,V,1,41,10,0
truth,V,1,42,10,0
truth,V,1,43,10,0
truth,V,1,44,10,0
truth,V,1,45,10,0
truth,V,1,46,10,0
truth,V,1,47,10,0
truth,V,1,48,10,0
truth,V,1,49,10,0
truth,V,1,50,10,0
truth,V,1,1,11,-0.00230068681653962
truth,V,1,2,11,-0.0269912646904323
truth,V,1,3,11,-0.0514886417736598
truth,V,1,4,11,-0.00511146220938556
truth,V,1,5,11,-0.0173952784566955
truth,V,1,6,11,0.0299528871512666
truth,V,1,7,11,-0.0250906064865557
truth,V,1,8,11,0.0275046488761113
truth,V,1,9,11,-0.010963710406913
truth,V,1,10,11,-0.0128544825878763
truth,V,1,11,11,0.00897825553611056
truth,V,1,12,11,-0.011333874229383
truth,V,1,13,11,0.0154333095716468
truth,V,1,14,11,0.0182155677429845
truth,V,1,15,11,-0.0165553321338364
truth,V,1,16,11,0.0191771880556398
truth,V,1,17,11,0.0163617189044076
truth,V,1,18,11,0.0124142711047035
truth,V,1,19,11,0.0246242510780665
truth,V,1,20,11,0.0157128497761453
truth,V,1,21,11,0
truth,V,1,22,11,0
truth,V,1,23,11,0
truth,V,1,24,11,0
truth,V,1,25,11,0
truth,V,1,26,11,0
truth,V,1,27,11,0
truth,V,1,28,11,0
truth,V,1,29,11,0
truth,V,1,30,11,0
truth,V,1,31,11,0
truth,V,1,32,11,0
truth,V,1,33,11,0
truth,V,1,34,11,0
truth,V,1,35,11,0
truth,V,1,36,11,0
truth,V,1,37,11,0
truth,V,1,38,11,0
truth,V,1,39,11,0
truth,V,1,40,11,0
truth,V,1,41,11,0
truth,V,1,42,11,0
truth,V,1,43,11,0
truth,V,1,44,11,0
truth,V,1,45,11,0
truth,V,1,46,11,0
truth,V,1,47,11,0
truth,V,1,48,11,0
truth,V,1,49,11,0
truth,V,1,50,11,0
truth,V,1,1,12,0.00290431642483144
truth,V,1,2,12,0.0340729441329614
truth,V,1,3,12,0.0649976810926481
truth,V,1,4,12,0.00645255301282246
truth,V,1,5,12,0.0219592656302019
truth,V,1,6,12,-0.0378116054298031
truth,V,1,7,12,0.0316736115511317
truth,V,1,8,12,-0.0347210245722446
truth,V,1,9,12,0.013840251520972
truth,V,1,10,12,0.0162271042908964
truth,V,1,11,12,-0.011333874229383
truth,V,1,12,12,0.0143075349694402
