"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
4,1,6.25,3,"G-JisstPCA1 (oracle)","V",1,0.0947323213280133
4,1,6.25,3,"G-JisstPCA1 (oracle)","W",1,0.0856135020571794
4,1,6.25,3,"G-JisstPCA1 (oracle)","u",2,0.0530738910562676
4,1,6.25,3,"G-JisstPCA1 (oracle)","V",2,0.135300906267611
4,1,6.25,3,"G-JisstPCA1 (oracle)","W",2,0.105070630264014
4,1,6.25,3,"iHOSVD","u",1,0.0289038047297077
4,1,6.25,3,"iHOSVD","V",1,0.139483977147857
4,1,6.25,3,"iHOSVD","W",1,0.113370985336121
4,1,6.25,3,"iHOSVD","u",2,0.0679995139725926
4,1,6.25,3,"iHOSVD","V",2,0.172591641196176
4,1,6.25,3,"iHOSVD","W",2,0.134631745532083
4,1,6.25,3,"iHOOI","u",1,0.0253393107689017
4,1,6.25,3,"iHOOI","V",1,0.256655460113077
4,1,6.25,3,"iHOOI","W",1,0.123560146716595
4,1,6.25,3,"iHOOI","u",2,0.0475701826063327
4,1,6.25,3,"iHOOI","V",2,0.259113819576483
4,1,6.25,3,"iHOOI","W",2,0.120717832776076
4,1,8.5,3,"G-JisstPCA0 (oracle)","u",1,0.0202602910444164
4,1,8.5,3,"G-JisstPCA0 (oracle)","V",1,0.0701425491533035
4,1,8.5,3,"G-JisstPCA0 (oracle)","W",1,0.0632605278404301
4,1,8.5,3,"G-JisstPCA0 (oracle)","u",2,0.0380865359504822
4,1,8.5,3,"G-JisstPCA0 (oracle)","V",2,0.0988918378058915
4,1,8.5,3,"G-JisstPCA0 (oracle)","W",2,0.0765266202312543
4,1,8.5,3,"G-JisstPCA1 (oracle)","u",1,0.0202602910444164
4,1,8.5,3,"G-JisstPCA1 (oracle)","V",1,0.0701425491533035
4,1,8.5,3,"G-JisstPCA1 (oracle)","W",1,0.0632605278404301
4,1,8.5,3,"G-JisstPCA1 (oracle)","u",2,0.0380876782324834
4,1,8.5,3,"G-JisstPCA1 (oracle)","V",2,0.098505797995634
4,1,8.5,3,"G-JisstPCA1 (oracle)","W",2,0.0759910592179617
4,1,8.5,3,"iHOSVD","u",1,0.0205121158955605
4,1,8.5,3,"iHOSVD","V",1,0.137059911352394
4,1,8.5,3,"iHOSVD","W",1,0.0864142199952196
4,1,8.5,3,"iHOSVD","u",2,0.0434273950226207
4,1,8.5,3,"iHOSVD","V",2,0.13836720798887
4,1,8.5,3,"iHOSVD","W",2,0.0906059062158062
4,1,8.5,3,"iHOOI","u",1,0.0187008189986395
4,1,8.5,3,"iHOOI","V",1,0.243898620151947
4,1,8.5,3,"iHOOI","W",1,0.095050371608701
4,1,8.5,3,"iHOOI","u",2,0.0345468649054655
4,1,8.5,3,"iHOOI","V",2,0.245144511224558
4,1,8.5,3,"iHOOI","W",2,0.0915217036065175
4,1,12.5,3,"G-JisstPCA0 (oracle)","u",1,0.0136108848014116
4,1,12.5,3,"G-JisstPCA0 (oracle)","V",1,0.0479809623890245
4,1,12.5,3,"G-JisstPCA0 (oracle)","W",1,0.0432030711587252
4,1,12.5,3,"G-JisstPCA0 (oracle)","u",2,0.0251757188482315
4,1,12.5,3,"G-JisstPCA0 (oracle)","V",2,0.0666651908085028
4,1,12.5,3,"G-JisstPCA0 (oracle)","W",2,0.0512684147729473
4,1,12.5,3,"G-JisstPCA1 (oracle)","u",1,0.0136108848014116
4,1,12.5,3,"G-JisstPCA1 (oracle)","V",1,0.0479809623890245
4,1,12.5,3,"G-JisstPCA1 (oracle)","W",1,0.0432030711587252
4,1,12.5,3,"G-JisstPCA1 (oracle)","u",2,0.0251436478831882
4,1,12.5,3,"G-JisstPCA1 (oracle)","V",2,0.0664018143429133
4,1,12.5,3,"G-JisstPCA1 (oracle)","W",2,0.0509051867101038
4,1,12.5,3,"iHOSVD","u",1,0.0135493933317888
4,1,12.5,3,"iHOSVD","V",1,0.15369379295937
4,1,12.5,3,"iHOSVD","W",1,0.062010782155971
4,1,12.5,3,"iHOSVD","u",2,0.0263129246754536
4,1,12.5,3,"iHOSVD","V",2,0.154222908574443
4,1,12.5,3,"iHOSVD","W",2,0.0599118262811069
4,1,12.5,3,"iHOOI","u",1,0.012763641049563
4,1,12.5,3,"iHOOI","V",1,0.234019082018841
4,1,12.5,3,"iHOOI","W",1,0.0674030202458563
4,1,12.5,3,"iHOOI","u",2,0.0232615457224849
