scenario,orthogonal,SNR,seed,method,factor name,factor number,err
4,0,12.5,1,JisstPCA1 (BIC top),W,1,0.0425663083264203
4,0,12.5,1,JisstPCA1 (BIC top),u,2,0.14847847907684
4,0,12.5,1,JisstPCA1 (BIC top),V,2,0.23896357610211
4,0,12.5,1,JisstPCA1 (BIC top),W,2,0.349476219612745
4,0,12.5,1,JisstPCA1 (oracle),u,1,0.0146667948718603
4,0,12.5,1,JisstPCA1 (oracle),V,1,0.0462017640369339
4,0,12.5,1,JisstPCA1 (oracle),W,1,0.0425663083264203
4,0,12.5,1,JisstPCA1 (oracle),u,2,0.14847847907684
4,0,12.5,1,JisstPCA1 (oracle),V,2,0.23896357610211
4,0,12.5,1,JisstPCA1 (oracle),W,2,0.349476219612745
4,0,12.5,1,G-JisstPCA1 (BIC),u,1,0.0122220096705794
4,0,12.5,1,G-JisstPCA1 (BIC),V,1,0.0459572087547697
4,0,12.5,1,G-JisstPCA1 (BIC),W,1,0.0422070469214748
4,0,12.5,1,G-JisstPCA1 (BIC),u,2,0.146045315348854
4,0,12.5,1,G-JisstPCA1 (BIC),V,2,0.238531219370764
4,0,12.5,1,G-JisstPCA1 (BIC),W,2,0.348853696038849
4,0,12.5,1,G-JisstPCA1 (BIC top),u,1,0.0122220096705794
4,0,12.5,1,G-JisstPCA1 (BIC top),V,1,0.0459572087547697
4,0,12.5,1,G-JisstPCA1 (BIC top),W,1,0.0422070469214748
4,0,12.5,1,G-JisstPCA1 (BIC top),u,2,0.146045315348854
