diagonal,SNR,seed,method,factor name,factor number,err
0,12.5,1,G-JisstPCA1 (BIC top),V,2,0.437843726725779
0,12.5,1,G-JisstPCA1 (BIC top),W,2,0.151539253386645
0,12.5,1,G-JisstPCA1 (oracle),u,1,0.0340058823012035
0,12.5,1,G-JisstPCA1 (oracle),V,1,0.0320854270399185
0,12.5,1,G-JisstPCA1 (oracle),W,1,0.0317686893307863
0,12.5,1,G-JisstPCA1 (oracle),u,2,0.0768560237089464
0,12.5,1,G-JisstPCA1 (oracle),V,2,0.437843726725779
0,12.5,1,G-JisstPCA1 (oracle),W,2,0.151539253386645
0,12.5,1,iHOSVD,u,1,0.0350042999112358
0,12.5,1,iHOSVD,V,1,0.112235289976116
0,12.5,1,iHOSVD,W,1,0.0528130507734168
0,12.5,1,iHOSVD,u,2,0.0755197159155044
0,12.5,1,iHOSVD,V,2,0.535221011470857
0,12.5,1,iHOSVD,W,2,0.198339536162272
0,12.5,1,iHOOI,u,1,0.0346642346916083
0,12.5,1,iHOOI,V,1,0.114339649990994
0,12.5,1,iHOOI,W,1,0.0527885560995293
0,12.5,1,iHOOI,u,2,0.073310412546467
0,12.5,1,iHOOI,V,2,0.535555299452481
0,12.5,1,iHOOI,W,2,0.195395980536533
0,4,2,JisstPCA0 (BIC),u,1,0.0988112916190034
0,4,2,JisstPCA0 (BIC),V,1,0.0796423044331151
